year,level_1,level_2,level_3,value
2015,Total,"Total","Ang Mo Kio",62.6
2015,Total,"Total","Bedok",92.2
2015,Total,"Total","Bishan",27.8
2015,Total,"Total","Bukit Batok",44
2015,Total,"Total","Bukit Merah",55.2
2015,Total,"Total","Bukit Panjang",41.2
2015,Total,"Total","Bukit Timah",23.9
2015,Total,"Total","Choa Chu Kang",49.3
2015,Total,"Total","Clementi",30.1
2015,Total,"Total","Geylang",37.5
2015,Total,"Total","Hougang",64.3
2015,Total,"Total","Jurong East",25.5
2015,Total,"Total","Jurong West",81.6
2015,Total,"Total","Kallang",36.5
2015,Total,"Total","Marine Parade",15.2
2015,Total,"Total","Novena",15.7
2015,Total,"Total","Outram",8.4
2015,Total,"Total","Pasir Ris",40.6
2015,Total,"Total","Punggol",33.2
2015,Total,"Total","Queenstown",35.5
2015,Total,"Total","Sembawang",23.1
2015,Total,"Total","Sengkang",64.6
2015,Total,"Total","Serangoon",39
2015,Total,"Total","Tampines",79.9
2015,Total,"Total","Tanglin",7
2015,Total,"Total","Toa Payoh",43.1
2015,Total,"Total","Woodlands",70.4
2015,Total,"Total","Yishun",62.9
2015,Total,"Total","Others",14.9
2015,No Working Person,"Total","Ang Mo Kio",8.7
2015,No Working Person,"Total","Bedok",10
2015,No Working Person,"Total","Bishan",2.6
2015,No Working Person,"Total","Bukit Batok",4.6
2015,No Working Person,"Total","Bukit Merah",10.8
2015,No Working Person,"Total","Bukit Panjang",2.3
2015,No Working Person,"Total","Bukit Timah",2.9
2015,No Working Person,"Total","Choa Chu Kang",2.4
2015,No Working Person,"Total","Clementi",3.9
2015,No Working Person,"Total","Geylang",4.9
2015,No Working Person,"Total","Hougang",5.4
2015,No Working Person,"Total","Jurong East",2.8
2015,No Working Person,"Total","Jurong West",5.6
2015,No Working Person,"Total","Kallang",4.8
2015,No Working Person,"Total","Marine Parade",2.7
2015,No Working Person,"Total","Novena",1.9
2015,No Working Person,"Total","Outram",1.2
2015,No Working Person,"Total","Pasir Ris",2.2
2015,No Working Person,"Total","Punggol",1.7
2015,No Working Person,"Total","Queenstown",6.6
2015,No Working Person,"Total","Sembawang",0.7
2015,No Working Person,"Total","Sengkang",2.2
2015,No Working Person,"Total","Serangoon",4.5
2015,No Working Person,"Total","Tampines",5.3
2015,No Working Person,"Total","Tanglin",1
2015,No Working Person,"Total","Toa Payoh",6
2015,No Working Person,"Total","Woodlands",4.5
2015,No Working Person,"Total","Yishun",4.9
2015,No Working Person,"Total","Others",1.7
2015,"Below $1,000","Total","Ang Mo Kio",2.1
2015,"Below $1,000","Total","Bedok",2.2
2015,"Below $1,000","Total","Bishan",0.5
2015,"Below $1,000","Total","Bukit Batok",0.6
2015,"Below $1,000","Total","Bukit Merah",2.1
2015,"Below $1,000","Total","Bukit Panjang",0.5
2015,"Below $1,000","Total","Bukit Timah",0.3
2015,"Below $1,000","Total","Choa Chu Kang",0.6
2015,"Below $1,000","Total","Clementi",0.8
2015,"Below $1,000","Total","Geylang",1.2
2015,"Below $1,000","Total","Hougang",1.4
2015,"Below $1,000","Total","Jurong East",0.2
2015,"Below $1,000","Total","Jurong West",1.2
2015,"Below $1,000","Total","Kallang",1.2
2015,"Below $1,000","Total","Marine Parade",0.3
2015,"Below $1,000","Total","Novena",0.1
2015,"Below $1,000","Total","Outram",0.4
2015,"Below $1,000","Total","Pasir Ris",0.3
2015,"Below $1,000","Total","Punggol",0.6
2015,"Below $1,000","Total","Queenstown",0.8
2015,"Below $1,000","Total","Sembawang",0.1
2015,"Below $1,000","Total","Sengkang",0.6
2015,"Below $1,000","Total","Serangoon",0.6
2015,"Below $1,000","Total","Tampines",1.4
2015,"Below $1,000","Total","Tanglin",0.1
2015,"Below $1,000","Total","Toa Payoh",1.6
2015,"Below $1,000","Total","Woodlands",1.1
2015,"Below $1,000","Total","Yishun",0.9
2015,"Below $1,000","Total","Others",0.3
2015,"$1,000 - $1,999","Total","Ang Mo Kio",5.4
2015,"$1,000 - $1,999","Total","Bedok",7.2
2015,"$1,000 - $1,999","Total","Bishan",1.3
2015,"$1,000 - $1,999","Total","Bukit Batok",2.4
2015,"$1,000 - $1,999","Total","Bukit Merah",6.1
2015,"$1,000 - $1,999","Total","Bukit Panjang",1.7
2015,"$1,000 - $1,999","Total","Bukit Timah",0.7
2015,"$1,000 - $1,999","Total","Choa Chu Kang",2
2015,"$1,000 - $1,999","Total","Clementi",1.9
2015,"$1,000 - $1,999","Total","Geylang",2.7
2015,"$1,000 - $1,999","Total","Hougang",3.1
2015,"$1,000 - $1,999","Total","Jurong East",1
2015,"$1,000 - $1,999","Total","Jurong West",4.8
2015,"$1,000 - $1,999","Total","Kallang",2.8
2015,"$1,000 - $1,999","Total","Marine Parade",0.7
2015,"$1,000 - $1,999","Total","Novena",0.8
2015,"$1,000 - $1,999","Total","Outram",1.1
2015,"$1,000 - $1,999","Total","Pasir Ris",1.5
2015,"$1,000 - $1,999","Total","Punggol",0.9
2015,"$1,000 - $1,999","Total","Queenstown",2.5
2015,"$1,000 - $1,999","Total","Sembawang",0.5
2015,"$1,000 - $1,999","Total","Sengkang",2.5
2015,"$1,000 - $1,999","Total","Serangoon",1.5
2015,"$1,000 - $1,999","Total","Tampines",3.4
2015,"$1,000 - $1,999","Total","Tanglin",0.1
2015,"$1,000 - $1,999","Total","Toa Payoh",3.8
2015,"$1,000 - $1,999","Total","Woodlands",3.5
2015,"$1,000 - $1,999","Total","Yishun",3.9
2015,"$1,000 - $1,999","Total","Others",0.5
2015,"$2,000 - $2,999","Total","Ang Mo Kio",4.4
2015,"$2,000 - $2,999","Total","Bedok",4.1
2015,"$2,000 - $2,999","Total","Bishan",1.1
2015,"$2,000 - $2,999","Total","Bukit Batok",2.4
2015,"$2,000 - $2,999","Total","Bukit Merah",3.6
2015,"$2,000 - $2,999","Total","Bukit Panjang",2.2
2015,"$2,000 - $2,999","Total","Bukit Timah",0.4
2015,"$2,000 - $2,999","Total","Choa Chu Kang",3.1
2015,"$2,000 - $2,999","Total","Clementi",1.6
2015,"$2,000 - $2,999","Total","Geylang",2.8
2015,"$2,000 - $2,999","Total","Hougang",4.3
2015,"$2,000 - $2,999","Total","Jurong East",2
2015,"$2,000 - $2,999","Total","Jurong West",4.2
2015,"$2,000 - $2,999","Total","Kallang",2.5
2015,"$2,000 - $2,999","Total","Marine Parade",0.8
2015,"$2,000 - $2,999","Total","Novena",0.7
2015,"$2,000 - $2,999","Total","Outram",0.8
2015,"$2,000 - $2,999","Total","Pasir Ris",1.3
2015,"$2,000 - $2,999","Total","Punggol",1.6
2015,"$2,000 - $2,999","Total","Queenstown",2.4
2015,"$2,000 - $2,999","Total","Sembawang",1.1
2015,"$2,000 - $2,999","Total","Sengkang",3.9
2015,"$2,000 - $2,999","Total","Serangoon",1.5
2015,"$2,000 - $2,999","Total","Tampines",4.1
2015,"$2,000 - $2,999","Total","Tanglin",0.2
2015,"$2,000 - $2,999","Total","Toa Payoh",3.1
2015,"$2,000 - $2,999","Total","Woodlands",5.1
2015,"$2,000 - $2,999","Total","Yishun",4.8
2015,"$2,000 - $2,999","Total","Others",0.6
2015,"$3,000 - $3,999","Total","Ang Mo Kio",3.9
2015,"$3,000 - $3,999","Total","Bedok",5.3
2015,"$3,000 - $3,999","Total","Bishan",0.9
2015,"$3,000 - $3,999","Total","Bukit Batok",2.6
2015,"$3,000 - $3,999","Total","Bukit Merah",2.7
2015,"$3,000 - $3,999","Total","Bukit Panjang",2.3
2015,"$3,000 - $3,999","Total","Bukit Timah",0.4
2015,"$3,000 - $3,999","Total","Choa Chu Kang",2.9
2015,"$3,000 - $3,999","Total","Clementi",1.6
2015,"$3,000 - $3,999","Total","Geylang",2.7
2015,"$3,000 - $3,999","Total","Hougang",4.4
2015,"$3,000 - $3,999","Total","Jurong East",1.6
2015,"$3,000 - $3,999","Total","Jurong West",5.1
2015,"$3,000 - $3,999","Total","Kallang",2.6
2015,"$3,000 - $3,999","Total","Marine Parade",0.7
2015,"$3,000 - $3,999","Total","Novena",0.5
2015,"$3,000 - $3,999","Total","Outram",0.4
2015,"$3,000 - $3,999","Total","Pasir Ris",1.7
2015,"$3,000 - $3,999","Total","Punggol",1.4
2015,"$3,000 - $3,999","Total","Queenstown",1.8
2015,"$3,000 - $3,999","Total","Sembawang",1.2
2015,"$3,000 - $3,999","Total","Sengkang",3.2
2015,"$3,000 - $3,999","Total","Serangoon",1.6
2015,"$3,000 - $3,999","Total","Tampines",4.7
2015,"$3,000 - $3,999","Total","Tanglin",0.2
2015,"$3,000 - $3,999","Total","Toa Payoh",2.6
2015,"$3,000 - $3,999","Total","Woodlands",3.7
2015,"$3,000 - $3,999","Total","Yishun",4.3
2015,"$3,000 - $3,999","Total","Others",0.7
2015,"$4,000 - $4,999","Total","Ang Mo Kio",4
2015,"$4,000 - $4,999","Total","Bedok",5.3
2015,"$4,000 - $4,999","Total","Bishan",1.3
2015,"$4,000 - $4,999","Total","Bukit Batok",2.7
2015,"$4,000 - $4,999","Total","Bukit Merah",2.7
2015,"$4,000 - $4,999","Total","Bukit Panjang",2.4
2015,"$4,000 - $4,999","Total","Bukit Timah",0.2
2015,"$4,000 - $4,999","Total","Choa Chu Kang",2.8
2015,"$4,000 - $4,999","Total","Clementi",1.7
2015,"$4,000 - $4,999","Total","Geylang",2.3
2015,"$4,000 - $4,999","Total","Hougang",4.1
2015,"$4,000 - $4,999","Total","Jurong East",1.7
2015,"$4,000 - $4,999","Total","Jurong West",5.4
2015,"$4,000 - $4,999","Total","Kallang",1.8
2015,"$4,000 - $4,999","Total","Marine Parade",0.6
2015,"$4,000 - $4,999","Total","Novena",0.7
2015,"$4,000 - $4,999","Total","Outram",0.4
2015,"$4,000 - $4,999","Total","Pasir Ris",1.6
2015,"$4,000 - $4,999","Total","Punggol",1.7
2015,"$4,000 - $4,999","Total","Queenstown",2.2
2015,"$4,000 - $4,999","Total","Sembawang",1.2
2015,"$4,000 - $4,999","Total","Sengkang",4.1
2015,"$4,000 - $4,999","Total","Serangoon",1.9
2015,"$4,000 - $4,999","Total","Tampines",5.2
2015,"$4,000 - $4,999","Total","Tanglin",0.3
2015,"$4,000 - $4,999","Total","Toa Payoh",2.8
2015,"$4,000 - $4,999","Total","Woodlands",6.2
2015,"$4,000 - $4,999","Total","Yishun",4.5
2015,"$4,000 - $4,999","Total","Others",0.5
2015,"$5,000 - $5,999","Total","Ang Mo Kio",3.8
2015,"$5,000 - $5,999","Total","Bedok",6.2
2015,"$5,000 - $5,999","Total","Bishan",1
2015,"$5,000 - $5,999","Total","Bukit Batok",2.1
2015,"$5,000 - $5,999","Total","Bukit Merah",2.1
2015,"$5,000 - $5,999","Total","Bukit Panjang",2.4
2015,"$5,000 - $5,999","Total","Bukit Timah",0.3
2015,"$5,000 - $5,999","Total","Choa Chu Kang",3
2015,"$5,000 - $5,999","Total","Clementi",1.7
2015,"$5,000 - $5,999","Total","Geylang",1.9
2015,"$5,000 - $5,999","Total","Hougang",3.6
2015,"$5,000 - $5,999","Total","Jurong East",1.5
2015,"$5,000 - $5,999","Total","Jurong West",4.6
2015,"$5,000 - $5,999","Total","Kallang",1.6
2015,"$5,000 - $5,999","Total","Marine Parade",0.6
2015,"$5,000 - $5,999","Total","Novena",0.9
2015,"$5,000 - $5,999","Total","Outram",0.5
2015,"$5,000 - $5,999","Total","Pasir Ris",2.7
2015,"$5,000 - $5,999","Total","Punggol",1.7
2015,"$5,000 - $5,999","Total","Queenstown",1.7
2015,"$5,000 - $5,999","Total","Sembawang",2
2015,"$5,000 - $5,999","Total","Sengkang",3.9
2015,"$5,000 - $5,999","Total","Serangoon",2.2
2015,"$5,000 - $5,999","Total","Tampines",4.9
2015,"$5,000 - $5,999","Total","Tanglin",0.1
2015,"$5,000 - $5,999","Total","Toa Payoh",1.9
2015,"$5,000 - $5,999","Total","Woodlands",5.5
2015,"$5,000 - $5,999","Total","Yishun",4.6
2015,"$5,000 - $5,999","Total","Others",0.6
2015,"$6,000 - $6,999","Total","Ang Mo Kio",2.9
2015,"$6,000 - $6,999","Total","Bedok",5.2
2015,"$6,000 - $6,999","Total","Bishan",1.1
2015,"$6,000 - $6,999","Total","Bukit Batok",3.1
2015,"$6,000 - $6,999","Total","Bukit Merah",2.2
2015,"$6,000 - $6,999","Total","Bukit Panjang",2.9
2015,"$6,000 - $6,999","Total","Bukit Timah",0.3
2015,"$6,000 - $6,999","Total","Choa Chu Kang",2.8
2015,"$6,000 - $6,999","Total","Clementi",1.7
2015,"$6,000 - $6,999","Total","Geylang",2
2015,"$6,000 - $6,999","Total","Hougang",4.2
2015,"$6,000 - $6,999","Total","Jurong East",1.5
2015,"$6,000 - $6,999","Total","Jurong West",5.6
2015,"$6,000 - $6,999","Total","Kallang",2.2
2015,"$6,000 - $6,999","Total","Marine Parade",0.7
2015,"$6,000 - $6,999","Total","Novena",0.7
2015,"$6,000 - $6,999","Total","Outram",0.4
2015,"$6,000 - $6,999","Total","Pasir Ris",2.3
2015,"$6,000 - $6,999","Total","Punggol",2
2015,"$6,000 - $6,999","Total","Queenstown",1.9
2015,"$6,000 - $6,999","Total","Sembawang",1.5
2015,"$6,000 - $6,999","Total","Sengkang",4.1
2015,"$6,000 - $6,999","Total","Serangoon",1.7
2015,"$6,000 - $6,999","Total","Tampines",5
2015,"$6,000 - $6,999","Total","Tanglin",0.2
2015,"$6,000 - $6,999","Total","Toa Payoh",2.3
2015,"$6,000 - $6,999","Total","Woodlands",5.5
2015,"$6,000 - $6,999","Total","Yishun",4.2
2015,"$6,000 - $6,999","Total","Others",0.6
2015,"$7,000 - $7,999","Total","Ang Mo Kio",3.3
2015,"$7,000 - $7,999","Total","Bedok",3.2
2015,"$7,000 - $7,999","Total","Bishan",1
2015,"$7,000 - $7,999","Total","Bukit Batok",2.3
2015,"$7,000 - $7,999","Total","Bukit Merah",2.3
2015,"$7,000 - $7,999","Total","Bukit Panjang",2.9
2015,"$7,000 - $7,999","Total","Bukit Timah",0.7
2015,"$7,000 - $7,999","Total","Choa Chu Kang",2.6
2015,"$7,000 - $7,999","Total","Clementi",1.2
2015,"$7,000 - $7,999","Total","Geylang",1.5
2015,"$7,000 - $7,999","Total","Hougang",3.7
2015,"$7,000 - $7,999","Total","Jurong East",1.6
2015,"$7,000 - $7,999","Total","Jurong West",6
2015,"$7,000 - $7,999","Total","Kallang",1.6
2015,"$7,000 - $7,999","Total","Marine Parade",0.4
2015,"$7,000 - $7,999","Total","Novena",0.5
2015,"$7,000 - $7,999","Total","Outram",0.3
2015,"$7,000 - $7,999","Total","Pasir Ris",2.3
2015,"$7,000 - $7,999","Total","Punggol",1.8
2015,"$7,000 - $7,999","Total","Queenstown",1.7
2015,"$7,000 - $7,999","Total","Sembawang",1.6
2015,"$7,000 - $7,999","Total","Sengkang",4.8
2015,"$7,000 - $7,999","Total","Serangoon",1.8
2015,"$7,000 - $7,999","Total","Tampines",4.9
2015,"$7,000 - $7,999","Total","Tanglin",0.2
2015,"$7,000 - $7,999","Total","Toa Payoh",1.9
2015,"$7,000 - $7,999","Total","Woodlands",4.9
2015,"$7,000 - $7,999","Total","Yishun",4
2015,"$7,000 - $7,999","Total","Others",0.5
2015,"$8,000 - $8,999","Total","Ang Mo Kio",2.6
2015,"$8,000 - $8,999","Total","Bedok",4.4
2015,"$8,000 - $8,999","Total","Bishan",1.7
2015,"$8,000 - $8,999","Total","Bukit Batok",2.4
2015,"$8,000 - $8,999","Total","Bukit Merah",1.6
2015,"$8,000 - $8,999","Total","Bukit Panjang",2.5
2015,"$8,000 - $8,999","Total","Bukit Timah",0.7
